name,city,country,latitude,longitude
BT McClintic Beer Company,Beloit,United States,42.5083,-89.0318
Bube's Brewery,Mount Joy,United States,40.1119,-76.5031
Budjovick Budvar,esk Budjovice,Czech Republic,0,0
Budjovick Mansk Pivovar,esk Budjovice,Czech Republic,0,0
Bull & Bush Pub & Brewery,Denver,United States,39.705,-104.936
Bulldog Brewing,Fresno,United States,36.7477,-119.772
Bullfrog Brewery,Williamsport,United States,41.2404,-77.0057
Bulmer Cider,Hereford,United Kingdom,52.056,-2.7175
BÃ¼rgerbrÃ¤u Wolnzach,Wolnzach,Germany,0,0
Burton Bridge Brewery,Burton-upon-Trent,United Kingdom,52.8065,-1.6225
Butte Creek Brewing,Chico,United States,39.7245,-121.848
Butterfield Brewing #1,Fresno,United States,36.7477,-119.772
Buzzards Bay Brewing Inc.,Westport,United States,41.5713,-71.0571
C.B. & Potts of Cheyenne,Cheyenne,United States,41.1607,-104.802
C.H. Evans Brewing Company,Albany,United States,42.6542,-73.7481
Caldera Brewing,Ashland,United States,42.1844,-122.663
Caledonian Brewing,Edinburgh,United Kingdom,55.9358,-3.2297
Calhoun's Microbrewery,Knoxville,United States,35.932,-84.012
California Cider Company,San Rafael,United States,37.9735,-122.531
Callahan's Pub and Brewery,San Diego,United States,32.9147,-117.146
Cambridge Brewing,Cambridge,United States,42.3664,-71.0911
Cameron's Brewing,Oakville,Canada,43.4745,-79.6775
Camerons Brewery Company,Harltepool,United Kingdom,41.4995,-81.6954
Canadian Brewery,Saskatoon,Canada,52.1344,-106.648
Cape Ann Brewing,Gloucester,United States,42.6102,-70.6664
Capital Brewery,Middleton,United States,43.0949,-89.5163
Capital City Brewing Company,Washington,United States,38.8999,-77.0272
Capitol City Brewing #4,Arlington,United States,38.8411,-77.0869
Captain Lawrence Brewing Company,Pleasantville,United States,41.126,-73.7896
Carlow Brewing Company,Carlow,Ireland,52.7196,-6.846
Carlsberg Bryggerierne,Kbenhavn,Denmark,55.6667,12.5393
Carlsberg Sverige AB,Falkenberg,Sweden,56.9002,12.5405
Carlton and United Breweries,Melbourne,Australia,-37.8231,144.967
Carlyle Brewing,Rockford,United States,42.2689,-89.0907
Carmel Brewing,Salinas,United States,36.6777,-121.656
Carolina Beer Company,Mooresville,United States,35.6231,-80.8011
Carolina Brewery,Chapel Hill,United States,35.9103,-79.0632
Carver Brewing Co.,Durango,United States,37.2748,-107.88
Castle Springs Brewery,Moultonborough,United States,43.7548,-71.3967
Cat's Paw Home Brew,,United States,0,0
Catamount Brewing,White River Junction,United States,43.649,-72.3193
